method,rmse
odr,0.08963020264855111
clustered,0.09731006929543588
ols,0.09731006929543588
lmer_int,0.09731006929543594
lmer_slope,0.09731006929543594
pbablok,0.0975574722167671
theilsen,0.09892871293836131
median,0.10070627736498187
huber,0.10106797082744978
quantile,0.11301810040708421
trimmed,0.1145543600197041
ensemble,0.11706514026128668
sma,0.17474276445266115
rma,0.17474276445266115
majoraxis,0.18784318780721096
enet,0.23576568108657361
lasso,0.23690366825077905
ridge,0.23735123751112694
deming,0.24666036466560767
gb,0.26666666666666666
xgb,0.26666666666666666
rf,0.26666666666666666
svm_linear,0.27259275239707703
svm_rbf,0.3791631311785757
adaptive_lasso,0.45579448326090405
lgb,87.5614299720288
