method,avg_rmse,rank
ensemble,0.24602846320854851,1
ols,0.24965450065762734,2
lmer_slopes,0.25461084775457676,3
siegel,0.25887778129085565,4
lmer,0.26454568522253513,5
theilsen,0.2655161524492028,6
xgboost,0.26666666666666666,7
deming_std,0.29555182453295376,8
deming_wtd,0.29555182453295376,9
rma,0.3912632467534111,10
glmnet,0.45016907711447196,11
nlme,0.5213399084295655,12
majoraxis,0.618472628026179,13
keras,0.7041602368049691,14
rf,0.7891079967043803,15
keras_denoised,0.8240683862593526,16
deming_mcr,0.9866757201677008,17
