beta_true,n,beta_ols_mean,beta_ols_sd,beta_ols_bias,beta_ols_rmse,beta_majoraxis_mean,beta_majoraxis_sd,beta_majoraxis_bias,beta_majoraxis_rmse,beta_rma_mean,beta_rma_sd,beta_rma_bias,beta_rma_rmse,beta_deming_std_mean,beta_deming_std_sd,beta_deming_std_bias,beta_deming_std_rmse,beta_deming_wtd_mean,beta_deming_wtd_sd,beta_deming_wtd_bias,beta_deming_wtd_rmse,beta_theilsen_mean,beta_theilsen_sd,beta_theilsen_bias,beta_theilsen_rmse,beta_siegel_mean,beta_siegel_sd,beta_siegel_bias,beta_siegel_rmse,beta_lmer_mean,beta_lmer_sd,beta_lmer_bias,beta_lmer_rmse,beta_lmer_slopes_mean,beta_lmer_slopes_sd,beta_lmer_slopes_bias,beta_lmer_slopes_rmse,beta_nlme_mean,beta_nlme_sd,beta_nlme_bias,beta_nlme_rmse,beta_xgboost_mean,beta_xgboost_sd,beta_xgboost_bias,beta_xgboost_rmse,beta_rf_mean,beta_rf_sd,beta_rf_bias,beta_rf_rmse,beta_glmnet_mean,beta_glmnet_sd,beta_glmnet_bias,beta_glmnet_rmse,beta_keras_mean,beta_keras_sd,beta_keras_bias,beta_keras_rmse,beta_keras_denoised_mean,beta_keras_denoised_sd,beta_keras_denoised_bias,beta_keras_denoised_rmse,beta_ensemble_mean,beta_ensemble_sd,beta_ensemble_bias,beta_ensemble_rmse,beta_deming_mcr_mean,beta_deming_mcr_sd,beta_deming_mcr_bias,beta_deming_mcr_rmse
0.6,100,0.5391875097870469,0.2572733101617376,-0.06081249021295312,0.2631079997382489,1.0797280529390467,0.7311019963331477,0.4797280529390467,0.8713805325623125,1.0076333333785712,0.3549017804577882,0.4076333333785712,0.5393149872900923,0.6580724121986632,0.3249167785097788,0.05807241219866325,0.32846249235821795,0.6580724121986632,0.3249167785097788,0.05807241219866325,0.32846249235821795,0.5434641154214587,0.2693866024871119,-0.0565358845785413,0.2739338541119587,0.5387726066214864,0.26062211144650677,-0.06122739337851354,0.26644594165611585,0.44987077692698096,0.14524977586454038,-0.150129223073019,0.20838739413726667,0.46189627533707833,0.16165820358011634,-0.13810372466292165,0.21200160330213283,0.6378242320244851,0.4081884410262746,0.03782423202448511,0.4078998625665715,1,0,0.4,0.4,0.13166765499908775,0.05951138112962862,-0.4683323450009122,0.4720607734319489,0.3350105818029668,0.15691055482262067,-0.2649894181970332,0.307561546278135,0.288635434298958,0.044162632018897884,-0.311364565701042,0.3144498806811138,0.8317180130951384,0.4899412805891383,0.23171801309513834,0.5397548252992558,0.5562909176675934,0.2287035824264734,-0.043709082332406536,0.23171698083415634,1.824266088090806,0.9855232117615841,1.2242660880908058,1.5684937614955414
1,100,0.9174591711145492,0.22772039773783365,-0.08254082888545082,0.24114518901175627,1.423798511897165,0.30478212776421715,0.423798511897165,0.5211222530622639,1.2888738364996417,0.20220545995086753,0.28887383649964166,0.3520316334757775,1.093871627532385,0.2685424643058695,0.09387162753238497,0.2832062623595977,1.093871627532385,0.2685424643058695,0.09387162753238497,0.2832062623595977,0.9021655472537835,0.2606954496167709,-0.09783445274621645,0.2772256777799147,0.9059983202710038,0.24400208065156626,-0.09400167972899623,0.26034200775238575,0.7978732360600197,0.15376376108999495,-0.20212676393998036,0.25349968438470327,0.8159144527751995,0.15449553510475217,-0.18408554722480058,0.23982841858438075,1.0294795406011203,0.6126861759087324,0.029479540601120437,0.6103274121012611,1,0,0,0,0.21793215437879773,0.06248929837046878,-0.7820678456212022,0.7845355176416895,0.5898526002854793,0.13662623135504304,-0.41014739971452074,0.43208905252959345,0.2950610109337686,0.03868628602105001,-0.7049389890662314,0.7059891222565414,1.283482318931862,0.8083099312624924,0.2834823189318621,0.8527564251735577,0.8729339707302836,0.187940136605356,-0.1270660292697164,0.22608417855334303,1.7152371792591734,0.3331521768546562,0.7152371792591735,0.7883176338305424
1.4,100,1.2763550402365453,0.21223929063113708,-0.12364495976345466,0.24471031322287687,1.772582237703618,0.27610725577448675,0.3725822377036182,0.46291509845396067,1.5921361262840474,0.20806424980456212,0.1921361262840476,0.2824431194943636,1.5068025971828212,0.2546752751122538,0.10680259718282135,0.27498671888104553,1.5068025971828212,0.2546752751122538,0.10680259718282135,0.27498671888104553,1.2672316711657898,0.20740896894512567,-0.13276832883421016,0.24538892545573499,1.267674237622169,0.2129936067377179,-0.13232576237783097,0.2498453944640653,1.117206587628173,0.17432679533260734,-0.2827934123718271,0.3317499771456355,1.141653237409906,0.17581706403250053,-0.25834676259009387,0.3120025213772168,1.272362025848363,0.5333313889256166,-0.12763797415163697,0.5457924506208638,1,0,-0.3999999999999999,0.3999999999999999,0.2907367864406109,0.05730605814824286,-1.109263213559389,1.1107276990395023,0.8050343800375174,0.13912328874131988,-0.5949656199624825,0.6108566325356874,0.3085270674416279,0.03541854165816358,-1.091472932558372,1.092041707477252,1.567038378395274,1.0720682907232515,0.16703837839527397,1.0796939083052446,1.1792667416307612,0.17360141963382036,-0.22073325836923877,0.2802842302381462,1.9315905134855165,0.28653412251238125,0.5315905134855166,0.6032157651770186
