method,method_col,beta_true,sigma_x_me,sigma_y_me,error_ratio,n_per_habitat,n_habitats,mean_bias,rmse,sd_bias,sd_rmse,n_sim
Deming (MCR),beta_deming_mcr,1.4,0.3,0.3,1.0,72,6,0.28610388394892533,0.3162111241003141,0.28548071392130214,0.2513603454793076,100
Deming (MCR),beta_deming_mcr,1.4,0.3,0.3,1.0,72,12,0.4089722127135424,0.4156414564457434,0.2732368843403594,0.2628750547579569,100
Deming (MCR),beta_deming_mcr,1.4,0.4,0.2,0.5,36,6,-0.034710325131866324,0.24755085819810602,0.32486961405600645,0.21179426540931984,100
Deming (MCR),beta_deming_mcr,1.4,0.4,0.2,0.5,36,12,-0.0716081581810285,0.18316966925785055,0.21743172975478392,0.13625730307613038,100
Deming (MCR),beta_deming_mcr,1.4,0.4,0.2,0.5,72,6,-0.033332903028571,0.20847756098294387,0.2716180626846829,0.17605898130085984,100
Deming (MCR),beta_deming_mcr,1.4,0.4,0.2,0.5,72,12,-0.019333233206054082,0.14495961544432695,0.1897524642746197,0.12311783596648854,100
Deming (Std),beta_deming_std,0.6,0.2,0.4,2.0,36,6,0.05807241219866339,0.26206883873619236,0.32491677850977896,0.19900645299327796,100
Deming (Std),beta_deming_std,0.6,0.2,0.4,2.0,36,12,0.10291827928136892,0.21817685568112968,0.2538256789430069,0.16445266548510096,100
Deming (Std),beta_deming_std,0.6,0.2,0.4,2.0,72,6,0.11196576214979582,0.2732606083668224,0.3310064392720509,0.21633910441932283,100
Deming (Std),beta_deming_std,0.6,0.2,0.4,2.0,72,12,0.16083095362572636,0.22976426068794772,0.22419721374790547,0.15187956053919122,100
Deming (Std),beta_deming_std,0.6,0.3,0.3,1.0,36,6,0.4704753392154558,0.556716631977782,0.7963513866646679,0.7380341155931198,100
Deming (Std),beta_deming_std,0.6,0.3,0.3,1.0,36,12,0.5273448333633204,0.5510290205822764,0.3647613245714086,0.3274941705320998,100
Deming (Std),beta_deming_std,0.6,0.3,0.3,1.0,72,6,0.454727363255015,0.5599167510937219,1.448992606196952,1.4113014209697092,100
Deming (Std),beta_deming_std,0.6,0.3,0.3,1.0,72,12,0.5389111126030084,0.5480645335707286,0.41204460127980186,0.39966324238215717,100
Deming (Std),beta_deming_std,0.6,0.4,0.2,0.5,36,6,0.8548204847703671,0.9796303734296589,0.9272742371785831,0.7928223006875877,100
Deming (Std),beta_deming_std,0.6,0.4,0.2,0.5,36,12,1.1234811508812697,1.1234811508812697,0.5689042812379876,0.5689042812379876,100
Deming (Std),beta_deming_std,0.6,0.4,0.2,0.5,72,6,0.3200065536055512,1.8355095873918774,6.0132234658024615,5.732291715997763,100
Deming (Std),beta_deming_std,0.6,0.4,0.2,0.5,72,12,1.512240797469556,1.512240797469556,2.644195732559016,2.644195732559016,100
Deming (Std),beta_deming_std,1.0,0.2,0.4,2.0,36,6,0.09387162753238514,0.22478968664834365,0.26854246430586987,0.17313328729020355,100
Deming (Std),beta_deming_std,1.0,0.2,0.4,2.0,36,12,0.13927827713042576,0.2034140674717108,0.2103764288365068,0.14851730173988723,100
Deming (Std),beta_deming_std,1.0,0.2,0.4,2.0,72,6,0.13559466261418915,0.23865141226583184,0.277982121398135,0.195744461257392,100
Deming (Std),beta_deming_std,1.0,0.2,0.4,2.0,72,12,0.17535906194813008,0.2306977353309185,0.22711514583983514,0.1699519602225867,100
Deming (Std),beta_deming_std,1.0,0.3,0.3,1.0,36,6,0.305747836594477,0.33755839473816224,0.2518530710491608,0.20678329902211026,100
Deming (Std),beta_deming_std,1.0,0.3,0.3,1.0,36,12,0.5110476952437382,0.5166731264209949,0.3166270649316819,0.3072668673823783,100
Deming (Std),beta_deming_std,1.0,0.3,0.3,1.0,72,6,0.30680362029171176,0.36393612636790307,0.3236673576487821,0.25700668185256637,100
Deming (Std),beta_deming_std,1.0,0.3,0.3,1.0,72,12,0.4996407628366954,0.4996407628366954,0.29412537537905614,0.29412537537905614,100
Deming (Std),beta_deming_std,1.0,0.4,0.2,0.5,36,6,0.576006582995993,0.5778235944268026,0.41981005412429717,0.417280219907531,100
Deming (Std),beta_deming_std,1.0,0.4,0.2,0.5,36,12,0.6945838859443378,0.6945838859443378,0.2835181742716501,0.2835181742716501,100
Deming (Std),beta_deming_std,1.0,0.4,0.2,0.5,72,6,0.48526912761431445,0.489562516349993,0.3054067297047495,0.2984051998153679,100
Deming (Std),beta_deming_std,1.0,0.4,0.2,0.5,72,12,0.707841084140061,0.707841084140061,0.3191402914232413,0.3191402914232413,100
Deming (Std),beta_deming_std,1.4,0.2,0.4,2.0,36,6,0.1068025971828212,0.21138626364175853,0.2546752751122541,0.1767653900963059,100
Deming (Std),beta_deming_std,1.4,0.2,0.4,2.0,36,12,0.2165922102609525,0.23761847078015869,0.2122511275183848,0.18815876492875924,100
Deming (Std),beta_deming_std,1.4,0.2,0.4,2.0,72,6,0.16047000665637812,0.24054708248825685,0.2779818863598992,0.21174816850233336,100
Deming (Std),beta_deming_std,1.4,0.2,0.4,2.0,72,12,0.2211545835924314,0.26790439878695954,0.24366254154914166,0.19046541287647703,100
Deming (Std),beta_deming_std,1.4,0.3,0.3,1.0,36,6,0.2855091734361882,0.34126326868908113,0.3563416040771722,0.3027890804513838,100
Deming (Std),beta_deming_std,1.4,0.3,0.3,1.0,36,12,0.3689463477254693,0.3800327514886387,0.26474474282876687,0.24839971934069902,100
Deming (Std),beta_deming_std,1.4,0.3,0.3,1.0,72,6,0.28610685632713706,0.31621370428357687,0.2854808241005202,0.2513606093640678,100
Deming (Std),beta_deming_std,1.4,0.3,0.3,1.0,72,12,0.4089738013321888,0.4156429672064556,0.2732390500399453,0.2628773894591679,100
Deming (Std),beta_deming_std,1.4,0.4,0.2,0.5,36,6,0.4193933271637516,0.4460258801300365,0.39585988368048186,0.3652723823245438,100
Deming (Std),beta_deming_std,1.4,0.4,0.2,0.5,36,12,0.49995106640092773,0.5010168224518965,0.2823035621831899,0.2803885482768197,100
Deming (Std),beta_deming_std,1.4,0.4,0.2,0.5,72,6,0.41982066807186996,0.4311841661902418,0.30508669849689246,0.2886344072374021,100
Deming (Std),beta_deming_std,1.4,0.4,0.2,0.5,72,12,0.5839791910555472,0.5849675562287387,0.2600581887291509,0.2578046646330709,100
Deming (Wtd),beta_deming_wtd,0.6,0.2,0.4,2.0,36,6,0.05807241219866339,0.26206883873619236,0.32491677850977896,0.19900645299327796,100
Deming (Wtd),beta_deming_wtd,0.6,0.2,0.4,2.0,36,12,0.10291827928136892,0.21817685568112968,0.2538256789430069,0.16445266548510096,100
Deming (Wtd),beta_deming_wtd,0.6,0.2,0.4,2.0,72,6,0.11196576214979582,0.2732606083668224,0.3310064392720509,0.21633910441932283,100
Deming (Wtd),beta_deming_wtd,0.6,0.2,0.4,2.0,72,12,0.16083095362572636,0.22976426068794772,0.22419721374790547,0.15187956053919122,100
Deming (Wtd),beta_deming_wtd,0.6,0.3,0.3,1.0,36,6,0.4704753392154558,0.556716631977782,0.7963513866646679,0.7380341155931198,100
Deming (Wtd),beta_deming_wtd,0.6,0.3,0.3,1.0,36,12,0.5273448333633204,0.5510290205822764,0.3647613245714086,0.3274941705320998,100
Deming (Wtd),beta_deming_wtd,0.6,0.3,0.3,1.0,72,6,0.454727363255015,0.5599167510937219,1.448992606196952,1.4113014209697092,100
Deming (Wtd),beta_deming_wtd,0.6,0.3,0.3,1.0,72,12,0.5389111126030084,0.5480645335707286,0.41204460127980186,0.39966324238215717,100
Deming (Wtd),beta_deming_wtd,0.6,0.4,0.2,0.5,36,6,0.8548204847703671,0.9796303734296589,0.9272742371785831,0.7928223006875877,100
Deming (Wtd),beta_deming_wtd,0.6,0.4,0.2,0.5,36,12,1.1234811508812697,1.1234811508812697,0.5689042812379876,0.5689042812379876,100
Deming (Wtd),beta_deming_wtd,0.6,0.4,0.2,0.5,72,6,0.3200065536055512,1.8355095873918774,6.0132234658024615,5.732291715997763,100
Deming (Wtd),beta_deming_wtd,0.6,0.4,0.2,0.5,72,12,1.512240797469556,1.512240797469556,2.644195732559016,2.644195732559016,100
Deming (Wtd),beta_deming_wtd,1.0,0.2,0.4,2.0,36,6,0.09387162753238514,0.22478968664834365,0.26854246430586987,0.17313328729020355,100
Deming (Wtd),beta_deming_wtd,1.0,0.2,0.4,2.0,36,12,0.13927827713042576,0.2034140674717108,0.2103764288365068,0.14851730173988723,100
Deming (Wtd),beta_deming_wtd,1.0,0.2,0.4,2.0,72,6,0.13559466261418915,0.23865141226583184,0.277982121398135,0.195744461257392,100
Deming (Wtd),beta_deming_wtd,1.0,0.2,0.4,2.0,72,12,0.17535906194813008,0.2306977353309185,0.22711514583983514,0.1699519602225867,100
Deming (Wtd),beta_deming_wtd,1.0,0.3,0.3,1.0,36,6,0.305747836594477,0.33755839473816224,0.2518530710491608,0.20678329902211026,100
Deming (Wtd),beta_deming_wtd,1.0,0.3,0.3,1.0,36,12,0.5110476952437382,0.5166731264209949,0.3166270649316819,0.3072668673823783,100
Deming (Wtd),beta_deming_wtd,1.0,0.3,0.3,1.0,72,6,0.30680362029171176,0.36393612636790307,0.3236673576487821,0.25700668185256637,100
Deming (Wtd),beta_deming_wtd,1.0,0.3,0.3,1.0,72,12,0.4996407628366954,0.4996407628366954,0.29412537537905614,0.29412537537905614,100
Deming (Wtd),beta_deming_wtd,1.0,0.4,0.2,0.5,36,6,0.576006582995993,0.5778235944268026,0.41981005412429717,0.417280219907531,100
Deming (Wtd),beta_deming_wtd,1.0,0.4,0.2,0.5,36,12,0.6945838859443378,0.6945838859443378,0.2835181742716501,0.2835181742716501,100
Deming (Wtd),beta_deming_wtd,1.0,0.4,0.2,0.5,72,6,0.48526912761431445,0.489562516349993,0.3054067297047495,0.2984051998153679,100
Deming (Wtd),beta_deming_wtd,1.0,0.4,0.2,0.5,72,12,0.707841084140061,0.707841084140061,0.3191402914232413,0.3191402914232413,100
Deming (Wtd),beta_deming_wtd,1.4,0.2,0.4,2.0,36,6,0.1068025971828212,0.21138626364175853,0.2546752751122541,0.1767653900963059,100
Deming (Wtd),beta_deming_wtd,1.4,0.2,0.4,2.0,36,12,0.2165922102609525,0.23761847078015869,0.2122511275183848,0.18815876492875924,100
Deming (Wtd),beta_deming_wtd,1.4,0.2,0.4,2.0,72,6,0.16047000665637812,0.24054708248825685,0.2779818863598992,0.21174816850233336,100
Deming (Wtd),beta_deming_wtd,1.4,0.2,0.4,2.0,72,12,0.2211545835924314,0.26790439878695954,0.24366254154914166,0.19046541287647703,100
Deming (Wtd),beta_deming_wtd,1.4,0.3,0.3,1.0,36,6,0.2855091734361882,0.34126326868908113,0.3563416040771722,0.3027890804513838,100
Deming (Wtd),beta_deming_wtd,1.4,0.3,0.3,1.0,36,12,0.3689463477254693,0.3800327514886387,0.26474474282876687,0.24839971934069902,100
Deming (Wtd),beta_deming_wtd,1.4,0.3,0.3,1.0,72,6,0.28610685632713706,0.31621370428357687,0.2854808241005202,0.2513606093640678,100
Deming (Wtd),beta_deming_wtd,1.4,0.3,0.3,1.0,72,12,0.4089738013321888,0.4156429672064556,0.2732390500399453,0.2628773894591679,100
Deming (Wtd),beta_deming_wtd,1.4,0.4,0.2,0.5,36,6,0.4193933271637516,0.4460258801300365,0.39585988368048186,0.3652723823245438,100
Deming (Wtd),beta_deming_wtd,1.4,0.4,0.2,0.5,36,12,0.49995106640092773,0.5010168224518965,0.2823035621831899,0.2803885482768197,100
Deming (Wtd),beta_deming_wtd,1.4,0.4,0.2,0.5,72,6,0.41982066807186996,0.4311841661902418,0.30508669849689246,0.2886344072374021,100
Deming (Wtd),beta_deming_wtd,1.4,0.4,0.2,0.5,72,12,0.5839791910555472,0.5849675562287387,0.2600581887291509,0.2578046646330709,100
Ensemble,beta_ensemble,0.6,0.2,0.4,2.0,36,6,-0.043709082332406425,0.17624064102009512,0.2287035824264734,0.15119722774074815,100
Ensemble,beta_ensemble,0.6,0.2,0.4,2.0,36,12,-0.042005746944840966,0.1482127631081607,0.17607061908149513,0.10292840457142027,100
Ensemble,beta_ensemble,0.6,0.2,0.4,2.0,72,6,-0.017295354518616822,0.1830243858228527,0.22519695654721839,0.13107071122586164,100
Ensemble,beta_ensemble,0.6,0.2,0.4,2.0,72,12,-0.03165616454608691,0.11838355891512169,0.1511687864702444,0.09852922304142973,100
Ensemble,beta_ensemble,0.6,0.3,0.3,1.0,36,6,0.03334138349539968,0.18249469878133218,0.24912713749030638,0.17189091001953666,100
Ensemble,beta_ensemble,0.6,0.3,0.3,1.0,36,12,0.03161605054829082,0.13561098016042666,0.165332898895737,0.09883592410573236,100
Ensemble,beta_ensemble,0.6,0.3,0.3,1.0,72,6,-0.03830163229142659,0.18100303414866684,0.22891913779705705,0.1441970053851156,100
Ensemble,beta_ensemble,0.6,0.3,0.3,1.0,72,12,0.009474717231543755,0.11214842449478687,0.14722335058624264,0.09518970404289455,100
Ensemble,beta_ensemble,0.6,0.4,0.2,0.5,36,6,-0.0019433866801809628,0.14783668824410837,0.18948664800464074,0.11761187768608132,100
Ensemble,beta_ensemble,0.6,0.4,0.2,0.5,36,12,-0.03941417863463334,0.130569360687768,0.15339698139113084,0.08876508031185382,100
Ensemble,beta_ensemble,0.6,0.4,0.2,0.5,72,6,-0.05335428416074464,0.17483950920105162,0.21488238273702237,0.13480445878515,100
Ensemble,beta_ensemble,0.6,0.4,0.2,0.5,72,12,-0.06064494776762288,0.12062128127728938,0.14661464476041988,0.10253953024582747,100
Ensemble,beta_ensemble,1.0,0.2,0.4,2.0,36,6,-0.12706602926971647,0.18149029395538108,0.1879401366053559,0.13549508542330205,100
Ensemble,beta_ensemble,1.0,0.2,0.4,2.0,36,12,-0.11016060595536953,0.14937827286316813,0.15027903672754095,0.1109164836955489,100
Ensemble,beta_ensemble,1.0,0.2,0.4,2.0,72,6,-0.08455070960987539,0.1703037260592218,0.19979756626008052,0.13358060478317257,100
Ensemble,beta_ensemble,1.0,0.2,0.4,2.0,72,12,-0.11650465345309274,0.15526726298434795,0.16283614078583294,0.12599448432747923,100
Ensemble,beta_ensemble,1.0,0.3,0.3,1.0,36,6,-0.1063968459144327,0.16054783944781767,0.17061895743607605,0.12045536672608759,100
Ensemble,beta_ensemble,1.0,0.3,0.3,1.0,36,12,-0.07298685130973424,0.14021178199125683,0.16146524355697417,0.10767539735259757,100
Ensemble,beta_ensemble,1.0,0.3,0.3,1.0,72,6,-0.10411595613697028,0.18367420507068824,0.20110240881343167,0.13158580469103456,100
Ensemble,beta_ensemble,1.0,0.3,0.3,1.0,72,12,-0.09569775361281715,0.14041484188728515,0.1367406552689837,0.08962750614765409,100
Ensemble,beta_ensemble,1.0,0.4,0.2,0.5,36,6,-0.13817042463615048,0.1824066236794309,0.17305737742270938,0.12499800888768305,100
Ensemble,beta_ensemble,1.0,0.4,0.2,0.5,36,12,-0.11695402136364833,0.1599316982156251,0.14173443531628513,0.08982507507932821,100
Ensemble,beta_ensemble,1.0,0.4,0.2,0.5,72,6,-0.16352690459977537,0.20452943894316897,0.18137193049525135,0.13286119639879926,100
Ensemble,beta_ensemble,1.0,0.4,0.2,0.5,72,12,-0.193451542046104,0.20318118406268046,0.13929872468209367,0.12452332917598447,100
Ensemble,beta_ensemble,1.4,0.2,0.4,2.0,36,6,-0.22073325836923896,0.23693012864995758,0.17360141963382017,0.1504987125623806,100
Ensemble,beta_ensemble,1.4,0.2,0.4,2.0,36,12,-0.16047801434077744,0.18733885014342846,0.15092553883589246,0.11550539540449066,100
Ensemble,beta_ensemble,1.4,0.2,0.4,2.0,72,6,-0.17410197711524072,0.23335930616359693,0.20928603200699733,0.13932582777951283,100
Ensemble,beta_ensemble,1.4,0.2,0.4,2.0,72,12,-0.17293874406106555,0.20091993856657556,0.17524490944596507,0.1419299086783826,100
Ensemble,beta_ensemble,1.4,0.3,0.3,1.0,36,6,-0.2217950008023726,0.2618928576897374,0.2275355723582158,0.1793925378038944,100
Ensemble,beta_ensemble,1.4,0.3,0.3,1.0,36,12,-0.20778406489297027,0.22531178791373868,0.16231877308992473,0.13667304533157543,100
Ensemble,beta_ensemble,1.4,0.3,0.3,1.0,72,6,-0.2068345369523656,0.2270399110612524,0.16913017516274717,0.14053422765324736,100
Ensemble,beta_ensemble,1.4,0.3,0.3,1.0,72,12,-0.2183022619393291,0.22977035601878312,0.1649180796094697,0.14834934988464124,100
Ensemble,beta_ensemble,1.4,0.4,0.2,0.5,36,6,-0.2589993515065899,0.29075373731245296,0.22109175769060518,0.176771489729027,100
Ensemble,beta_ensemble,1.4,0.4,0.2,0.5,36,12,-0.2806911113178171,0.2833104912976263,0.14957125055169798,0.14449671938959438,100
Ensemble,beta_ensemble,1.4,0.4,0.2,0.5,72,6,-0.26539247368447766,0.28479682754130065,0.1925924724265215,0.1621972671673267,100
Ensemble,beta_ensemble,1.4,0.4,0.2,0.5,72,12,-0.29489964322440504,0.29745889476266263,0.13647568058460222,0.13074518658724682,100
GLMNET,beta_glmnet,0.6,0.2,0.4,2.0,36,6,-0.2649894181970332,0.2705646725402031,0.15691055482262067,0.14698609403823276,100
GLMNET,beta_glmnet,0.6,0.2,0.4,2.0,36,12,-0.22723094343922356,0.22790670233790586,0.10872355047319317,0.10728532244950255,100
GLMNET,beta_glmnet,0.6,0.2,0.4,2.0,72,6,-0.22845620184912016,0.23345513429625853,0.13752749516801974,0.12876888011793805,100
GLMNET,beta_glmnet,0.6,0.2,0.4,2.0,72,12,-0.21043833296478848,0.22004528744606275,0.1321701144115341,0.11528889144583405,100
GLMNET,beta_glmnet,0.6,0.3,0.3,1.0,36,6,-0.2703312330196,0.27691820568486686,0.13592765030861417,0.12179982652210912,100
GLMNET,beta_glmnet,0.6,0.3,0.3,1.0,36,12,-0.25314685677990734,0.2533879857043463,0.09275463009717484,0.09208717317462274,100
GLMNET,beta_glmnet,0.6,0.3,0.3,1.0,72,6,-0.28549962685937036,0.28549962685937036,0.11648295987254444,0.11648295987254444,100
GLMNET,beta_glmnet,0.6,0.3,0.3,1.0,72,12,-0.24339547729383895,0.2446381865023828,0.10646489442896229,0.10354788127918166,100
GLMNET,beta_glmnet,0.6,0.4,0.2,0.5,36,6,-0.2836889018733213,0.2837204113837726,0.10302949396591278,0.10294181484387475,100
GLMNET,beta_glmnet,0.6,0.4,0.2,0.5,36,12,-0.2898425266949487,0.2898425266949487,0.09107667171075354,0.09107667171075354,100
GLMNET,beta_glmnet,0.6,0.4,0.2,0.5,72,6,-0.3053310070138022,0.3053310070138022,0.09626007880150378,0.09626007880150378,100
GLMNET,beta_glmnet,0.6,0.4,0.2,0.5,72,12,-0.29892410300689265,0.29892410300689265,0.07993376689608415,0.07993376689608415,100
GLMNET,beta_glmnet,1.0,0.2,0.4,2.0,36,6,-0.41014739971452074,0.41014739971452074,0.13662623135504304,0.13662623135504304,100
GLMNET,beta_glmnet,1.0,0.2,0.4,2.0,36,12,-0.40880195982099865,0.40880195982099865,0.09958963899410576,0.09958963899410576,100
GLMNET,beta_glmnet,1.0,0.2,0.4,2.0,72,6,-0.4047954405853169,0.4057216522665953,0.13013359871207422,0.1271867138546865,100
GLMNET,beta_glmnet,1.0,0.2,0.4,2.0,72,12,-0.4073951426027547,0.40814999860266954,0.10619898829423083,0.10322978056983205,100
GLMNET,beta_glmnet,1.0,0.3,0.3,1.0,36,6,-0.4692379561729206,0.4692379561729206,0.12571195430218127,0.12571195430218127,100
GLMNET,beta_glmnet,1.0,0.3,0.3,1.0,36,12,-0.43625402265906715,0.43625402265906715,0.10183579254795207,0.10183579254795207,100
GLMNET,beta_glmnet,1.0,0.3,0.3,1.0,72,6,-0.4512675304950056,0.4512675304950056,0.1179038733597615,0.1179038733597615,100
GLMNET,beta_glmnet,1.0,0.3,0.3,1.0,72,12,-0.4406399954429389,0.4406399954429389,0.09417071343373684,0.09417071343373684,100
GLMNET,beta_glmnet,1.0,0.4,0.2,0.5,36,6,-0.5298767421180391,0.5298767421180391,0.1012148965820935,0.1012148965820935,100
GLMNET,beta_glmnet,1.0,0.4,0.2,0.5,36,12,-0.4954522176744649,0.4954522176744649,0.08727879358433739,0.08727879358433739,100
GLMNET,beta_glmnet,1.0,0.4,0.2,0.5,72,6,-0.5242887493643269,0.5242887493643269,0.10384772165654635,0.10384772165654635,100
GLMNET,beta_glmnet,1.0,0.4,0.2,0.5,72,12,-0.5056872042418777,0.5056872042418777,0.08103116164585909,0.08103116164585909,100
GLMNET,beta_glmnet,1.4,0.2,0.4,2.0,36,6,-0.5949656199624827,0.5949656199624827,0.13912328874131968,0.13912328874131968,100
GLMNET,beta_glmnet,1.4,0.2,0.4,2.0,36,12,-0.5581797007583466,0.5581797007583466,0.10143068452509722,0.10143068452509722,100
GLMNET,beta_glmnet,1.4,0.2,0.4,2.0,72,6,-0.5644045020377988,0.5644045020377988,0.12182827266198544,0.12182827266198544,100
GLMNET,beta_glmnet,1.4,0.2,0.4,2.0,72,12,-0.5719662042807582,0.5719662042807582,0.08899525732728988,0.08899525732728988,100
GLMNET,beta_glmnet,1.4,0.3,0.3,1.0,36,6,-0.6847745659616219,0.6847745659616219,0.1305370315395149,0.1305370315395149,100
GLMNET,beta_glmnet,1.4,0.3,0.3,1.0,36,12,-0.6606799538944537,0.6606799538944537,0.11081574834666623,0.11081574834666623,100
GLMNET,beta_glmnet,1.4,0.3,0.3,1.0,72,6,-0.6340037796367776,0.6340037796367776,0.11438705714225622,0.11438705714225622,100
GLMNET,beta_glmnet,1.4,0.3,0.3,1.0,72,12,-0.6512645630204114,0.6512645630204114,0.07994128002961128,0.07994128002961128,100
GLMNET,beta_glmnet,1.4,0.4,0.2,0.5,36,6,-0.7145936499822498,0.7145936499822498,0.1366517317609003,0.1366517317609003,100
GLMNET,beta_glmnet,1.4,0.4,0.2,0.5,36,12,-0.7342757262949468,0.7342757262949468,0.07252412952142388,0.07252412952142388,100
GLMNET,beta_glmnet,1.4,0.4,0.2,0.5,72,6,-0.7249245438169838,0.7249245438169838,0.10178396481873223,0.10178396481873223,100
GLMNET,beta_glmnet,1.4,0.4,0.2,0.5,72,12,-0.7048182829181507,0.7048182829181507,0.08316078139378319,0.08316078139378319,100
Keras,beta_keras,0.6,0.2,0.4,2.0,36,6,-0.31136456570104193,0.31136456570104193,0.044162632018897904,0.044162632018897904,100
Keras,beta_keras,0.6,0.2,0.4,2.0,36,12,-0.3177388277908176,0.3177388277908176,0.03927912879394724,0.03927912879394724,100
Keras,beta_keras,0.6,0.2,0.4,2.0,72,6,-0.3124543106739292,0.3124543106739292,0.0358941886688242,0.0358941886688242,100
Keras,beta_keras,0.6,0.2,0.4,2.0,72,12,-0.3110617232331242,0.3110617232331242,0.04161072525200941,0.04161072525200941,100
Keras,beta_keras,0.6,0.3,0.3,1.0,36,6,-0.31144571898032153,0.31144571898032153,0.0453642758952427,0.0453642758952427,100
Keras,beta_keras,0.6,0.3,0.3,1.0,36,12,-0.31023305231454285,0.31023305231454285,0.04200981497532479,0.04200981497532479,100
Keras,beta_keras,0.6,0.3,0.3,1.0,72,6,-0.3130107174901059,0.3130107174901059,0.042475339187998416,0.042475339187998416,100
