method,0.6,1.0,1.4
Ensemble,0.15091544382180502,0.16927809743000602,0.24657359059342607
OLS,0.17292623864135262,0.1941582221189205,0.2355689820016885
Siegel,0.1764306976215774,0.20088706127449796,0.2425395129184598
Theil-Sen,0.17901423115365125,0.20154113668251314,0.24019794348074316
Keras (Denoised),0.26959153620338905,0.31472681388571333,0.31587463427742835
RMA,0.43691947495378525,0.2767443169324147,0.2171166787382679
NLME,0.2370200991690691,0.2962243634260465,0.44314197152405543
LMM (Rand. Slopes),0.2113410487881322,0.34565028734812847,0.4813804378487587
LMM,0.2168355982451445,0.3553286415291684,0.49199095152991434
SMA (Major Axis),0.5480900845117253,0.42851537243807886,0.3844560297238893
GLMNET,0.2658528207892344,0.4571271190477854,0.6499042577137485
Deming (Std),0.7208216174890802,0.42376436607847956,0.36448361103048327
Deming (Wtd),0.7208216174890802,0.42376436607847956,0.36448361103048327
Deming (MCR),0.7909839120163923,0.47993800869087005,0.39262537748750925
Keras,0.31359027035619796,0.703951861369045,1.0969566368233818
Random Forest,0.48310063256803765,0.8145790074556629,1.143196985889495
