method,0.6,1.0,1.4
Ensemble,-0.021157718883443772,-0.11913185815897388,-0.2235792031838875
OLS,-0.07683386888236471,-0.1305165732257524,-0.17850999345635113
Siegel,-0.08295048785648831,-0.13591321411462828,-0.18678066598316248
Theil-Sen,-0.07931281423426874,-0.1308104129422473,-0.18092075306036046
Keras (Denoised),0.10058392767068425,0.13551761071353524,0.09891463271531127
RMA,0.4111402730754247,0.26255259960362537,0.16358112839439393
NLME,0.014397778180940438,-0.11602425866748882,-0.24336315538897088
LMM (Rand. Slopes),-0.2022478424683839,-0.34324541388842794,-0.4796543949320371
LMM,-0.20937214453989642,-0.3534518444242199,-0.4907884430489782
SMA (Major Axis),0.487879749152702,0.4067867593091718,0.3567341041870413
GLMNET,-0.2634395524159872,-0.45698703007435265,-0.6499042577137485
Deming (Std),0.5196495868682581,0.3859203520738716,0.3314749857671386
Deming (Wtd),0.5196495868682581,0.3859203520738716,0.3314749857671386
Deming (MCR),0.613399357140621,0.4001721831670045,0.3052250274229087
Keras,-0.31359027035619796,-0.703951861369045,-1.0969566368233818
Random Forest,-0.48310063256803765,-0.8145790074556629,-1.143196985889495
