method,0.5,1.0,2.0
Ensemble,0.2066863112687638,0.18167672655548098,0.1784040940209923
OLS,0.22844616571827225,0.19501363182963252,0.17919364521405687
Siegel,0.23429395817359613,0.20037925096838816,0.18518406267255086
Theil-Sen,0.23023141510845635,0.2016333387988372,0.188888557409614
Keras (Denoised),0.2931103841533078,0.28711485562459577,0.3199677445886271
RMA,0.2519197214805739,0.3037383104540725,0.37512243868982137
NLME,0.3308807985923572,0.30370209514798335,0.3418035403788306
LMM (Rand. Slopes),0.49244287703575634,0.35028079301591836,0.19564810393334472
LMM,0.49720237250322025,0.359595503649297,0.20735731515171008
SMA (Major Axis),0.35143155280547167,0.44888994964876217,0.5607399842194597
GLMNET,0.5093112637092047,0.4573805310028469,0.4061924028387167
Deming (Std),0.8236556179195391,0.44889066993800136,0.23652330674050256
Deming (Wtd),0.8236556179195391,0.44889066993800136,0.23652330674050256
Deming (MCR),0.1862323717790223,0.44888994964876244,1.0284249767669869
Keras,0.7074523504880168,0.7037915641411518,0.7032548539194563
Random Forest,0.8317123950130915,0.8125137103124397,0.7966505205876643
