method,0.5,1.0,2.0
Ensemble,-0.15562018913517914,-0.09981522938143202,-0.10843336170969399
OLS,-0.19332701077455608,-0.12975542778387322,-0.06277799700603898
Siegel,-0.20166191612413298,-0.13650125879188701,-0.0674811930382591
Theil-Sen,-0.19332677031784473,-0.1316309361367559,-0.06608627378227587
Keras (Denoised),0.039984224178987816,0.11113243285048836,0.18389951407005456
RMA,0.20327136975798998,0.2729455047656772,0.36105712654977684
NLME,-0.25112761345322326,-0.12800797516222426,0.03414595273992829
LMM (Rand. Slopes),-0.49244287703575634,-0.3498156477312371,-0.1828891265218554
LMM,-0.49720237250322025,-0.3592751367408438,-0.19713492276903044
SMA (Major Axis),0.29789216064816043,0.41368528194673077,0.5398231700540238
GLMNET,-0.509308637916667,-0.4567079634363261,-0.4043142388510952
Deming (Std),0.6831161600094622,0.4136862285187004,0.14024253618110563
Deming (Wtd),0.6831161600094622,0.4136862285187004,0.14024253618110563
Deming (MCR),-0.03321428514356829,0.4136852819467312,0.9383255709273711
Keras,-0.7074523504880168,-0.7037915641411518,-0.7032548539194563
Random Forest,-0.8317123950130915,-0.8125137103124397,-0.7966505205876643
