method,rmse
sma,0.13541090507265446
rma,0.13541090507265446
majoraxis,0.14123953458939767
odr,0.14564423506620533
theilsen,0.152410069522655
pbablok,0.15252938657589274
ols,0.1545361933356637
clustered,0.1545361933356637
lmer_slope,0.15453619333566374
lmer_int,0.15453619333566374
median,0.15626189162526813
huber,0.1574371234394949
trimmed,0.15845943862678247
deming,0.15937197702378236
quantile,0.17177343201409243
ensemble,0.1789005520556846
gb,0.26666666666666666
rf,0.26666666666666666
xgb,0.26666666666666666
enet,0.2746847780386071
lasso,0.2760206729266095
ridge,0.284794956815355
svm_linear,0.2927281164594631
svm_rbf,0.4426219876657386
adaptive_lasso,0.5128630781373336
lgb,1.0
