method,avg_rmse,rank
ensemble,0.2023806853557195,1
ols,0.23280553269547014,2
siegel,0.24084027525734164,3
theilsen,0.2467904323913292,4
xgboost,0.26666666666666666,5
keras_denoised,0.3319134200656625,6
lmer_slopes,0.3590715006883322,7
rma,0.3601729993435681,8
lmer,0.3697365314479966,9
nlme,0.392632845810945,10
glmnet,0.4623763611559083,11
deming_mcr,0.564615846202674,12
majoraxis,0.564615846202674,13
deming_std,0.5646161845803044,14
deming_wtd,0.5646161845803044,15
keras,0.7102127513691212,16
rf,0.8196906533323776,17
