beta_true,n,beta_ols_mean,beta_ols_sd,beta_ols_bias,beta_ols_rmse,beta_majoraxis_mean,beta_majoraxis_sd,beta_majoraxis_bias,beta_majoraxis_rmse,beta_rma_mean,beta_rma_sd,beta_rma_bias,beta_rma_rmse,beta_deming_mcr_mean,beta_deming_mcr_sd,beta_deming_mcr_bias,beta_deming_mcr_rmse,beta_theilsen_mean,beta_theilsen_sd,beta_theilsen_bias,beta_theilsen_rmse,beta_siegel_mean,beta_siegel_sd,beta_siegel_bias,beta_siegel_rmse,beta_lmer_mean,beta_lmer_sd,beta_lmer_bias,beta_lmer_rmse,beta_lmer_slopes_mean,beta_lmer_slopes_sd,beta_lmer_slopes_bias,beta_lmer_slopes_rmse,beta_nlme_mean,beta_nlme_sd,beta_nlme_bias,beta_nlme_rmse,beta_xgboost_mean,beta_xgboost_sd,beta_xgboost_bias,beta_xgboost_rmse,beta_rf_mean,beta_rf_sd,beta_rf_bias,beta_rf_rmse,beta_glmnet_mean,beta_glmnet_sd,beta_glmnet_bias,beta_glmnet_rmse,beta_keras_mean,beta_keras_sd,beta_keras_bias,beta_keras_rmse,beta_keras_denoised_mean,beta_keras_denoised_sd,beta_keras_denoised_bias,beta_keras_denoised_rmse,beta_ensemble_mean,beta_ensemble_sd,beta_ensemble_bias,beta_ensemble_rmse,beta_deming_std_mean,beta_deming_std_sd,beta_deming_std_bias,beta_deming_std_rmse,beta_deming_wtd_mean,beta_deming_wtd_sd,beta_deming_wtd_bias,beta_deming_wtd_rmse
0.6,100,0.4811414383806202,0.22283958369189258,-0.1188585616193798,0.25157158609350966,0.8699067413971593,0.6090159528505398,0.26990674139715926,0.6633559192242271,0.8720241325938528,0.3610626352116405,0.27202413259385283,0.45062145199041787,0.5627268512485746,0.27108089573521016,-0.03727314875142542,0.272285311998506,0.4770633008976397,0.22706957578791745,-0.12293669910236028,0.2572127880028596,0.47132687071509005,0.22378645187775098,-0.12867312928490993,0.25716987864748814,0.30477071815300666,0.09095633103052086,-0.2952292818469933,0.30878900963745415,0.31022541947715343,0.0893077599215512,-0.28977458052284655,0.30309309582960653,0.5185754379809252,0.29578044715256796,-0.08142456201907476,0.30535417385160046,1,0,0.4,0.4,0.10688289331975699,0.052916127446038436,-0.493117106680243,0.49591994946678714,0.29466899298619775,0.09626007880150375,-0.3053310070138022,0.32000057279202726,0.28079942199663493,0.040859477100614834,-0.31920057800336504,0.3217791337205206,0.6617112103312397,0.3476390276511331,0.06171121033123973,0.35135827596814845,0.5466457158392553,0.21488238273702234,-0.0533542841607447,0.2203619151871263,1.44798598993563,0.8232476644118718,0.84798598993563,1.178879637036107,1.44798598993563,0.8232476644118718,0.84798598993563,1.178879637036107
1,100,0.8270890026911785,0.19172022117408832,-0.1729109973088215,0.2574631813780413,1.221382760649555,0.29627082259850224,0.22138276064955506,0.368658328310618,1.1535344179401668,0.2061521694461343,0.15353441794016684,0.2562158217009637,0.9599917328090509,0.24107188187499048,-0.04000826719094902,0.24317721347211838,0.8275899335435445,0.20202712607350262,-0.1724100664564555,0.26482454774499875,0.8161453591778528,0.196741853932078,-0.18385464082214714,0.26855690732056314,0.4982021602246917,0.09510345700091782,-0.5017978397753082,0.5106420398492041,0.5009157184654198,0.09421177543251272,-0.4990842815345801,0.5078112051921785,0.7556411996942728,0.2510318749356273,-0.24435880030572724,0.34942532177593216,1,0,0,0,0.1691316128016244,0.04482767505156131,-0.8308683871983756,0.8320647222972819,0.47571125063567316,0.10384772165654632,-0.5242887493643268,0.5343736506512394,0.2973762025513861,0.041133992746484965,-0.7026237974486139,0.7038148094824277,0.9552270507690374,0.7169453625839444,-0.04477294923096267,0.7147553171429755,0.8364730954002246,0.18137193049525135,-0.1635269045997753,0.24353206755547113,1.485269127614314,0.30540672970475,0.48526912761431396,0.572561493692178,1.485269127614314,0.30540672970475,0.48526912761431396,0.572561493692178
1.4,100,1.1590014121525973,0.21948257427186282,-0.24099858784740247,0.32522483568964394,1.6383368006174477,0.2993512713443485,0.23833680061744783,0.38147018539786837,1.4793577950443872,0.22409534823995172,0.07935779504438738,0.236673187087309,1.3666670969714283,0.27161806268468325,-0.033332903028571635,0.27230440811916146,1.1558567498469892,0.23067905868865277,-0.2441432501530107,0.33509196712482325,1.1471579388718431,0.22478570605363696,-0.2528420611281569,0.33756841585833586,0.7016072889633609,0.10398226523466342,-0.698392711036639,0.7060145658537117,0.7063181612620948,0.10240313144581957,-0.6936818387379051,0.7011248324737983,0.967081914564918,0.33012321018807633,-0.43291808543508187,0.5434239498426702,1,0,-0.3999999999999999,0.3999999999999999,0.2423179951605951,0.05874984151325752,-1.1576820048394048,1.1591568715096496,0.675075456183016,0.10178396481873223,-0.7249245438169839,0.7319644594975503,0.29454274999850893,0.048967693177359585,-1.105457250001491,1.1065304280525772,1.4325925131486723,0.33459395170667366,0.03259251314867233,0.3345083755406542,1.134607526315522,0.19259247242652144,-0.2653924736844779,0.32734401922041145,1.8198206680718696,0.30508669849689235,0.4198206680718697,0.5180699836933688,1.8198206680718696,0.30508669849689235,0.4198206680718697,0.5180699836933688
