method,avg_rmse,rank
deming_mcr,0.19426534621991876,1
ensemble,0.24020765946526496,2
keras_denoised,0.26017713943153503,3
ols,0.2628074859539852,4
xgboost,0.26666666666666666,5
theilsen,0.26682248378531026,6
siegel,0.27027265418385094,7
rma,0.28463238353742426,8
nlme,0.35433305217397704,9
majoraxis,0.457980412349213,10
lmer_slopes,0.5039598710213635,11
lmer,0.5061891866227741,12
glmnet,0.5103521502587354,13
keras,0.7098940406614669,14
rf,0.8479209225837503,15
deming_std,0.9097889819039059,16
deming_wtd,0.9097889819039059,17
