sim_id,beta_true,n,sigma_x_me,sigma_y_me,n_per_habitat,n_habitats,beta_ols,se_ols,cover_ols,beta_sma,beta_majoraxis,beta_rma,beta_odr,beta_deming_std,se_deming_std,cover_deming_std,beta_deming_wtd,beta_deming_mcr,lambda_estimated,beta_pbablok,beta_theilsen,beta_siegel,beta_simex,se_simex,beta_lmer,se_lmer,cover_lmer,beta_lmer_slopes,se_lmer_slopes,beta_nlme,beta_brms_std,se_brms_std,cover_brms_std,beta_brms_me,se_brms_me,cover_brms_me,beta_brms_robust,se_brms_robust,beta_brms_horseshoe,beta_xgboost,beta_xgboost_corrected,beta_rf,beta_glmnet,beta_nnet,beta_keras,beta_keras_denoised,beta_ensemble,rhat,ess_bulk,divergent,time_total,sd_beta_actual,sd_alpha_actual,cor_alpha_beta_actual
1,0.6,432,0.2,0.4,72,6,0.5951213305074379,0.047365710098667566,1,NA,1.303177093637164,1.1484245339071626,NA,0.7597306857019736,NA,NA,0.7597306857019736,1.9258797022035508,4,NA,0.5979579070415422,0.5696058019045194,NA,NA,0.5484303222821038,0.06003415865365122,1,0.5578743976617927,0.12626899291974844,0.40005088404813127,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.19306389184816394,0.5458873806752796,4.019789126234896,0.24296317109838128,0.8029496848594925,0.5997445558417654,NA,NA,NA,18.789374113082886,0.35253048606573034,0.3511367696879856,-0.03504106897560335
1,1,432,0.2,0.4,72,6,1.2027711267341277,0.05493115726683798,0,NA,1.960251671789322,1.6565488703733249,NA,1.5449594258150317,NA,NA,1.5449594258150317,2.187936060952215,4,NA,1.2416391831432392,1.247811853842376,NA,NA,0.8681700841324544,0.06151783680351123,0,0.8688979868258151,0.0910646196603567,1.5493273111787407,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.2204581297896,0.6127476634728407,0.6233128952362311,0.22793660638853908,1.2806494030596947,1.0995911490281265,NA,NA,NA,24.55098009109497,0.1924724075903214,0.5723988569581725,0.6480512011927755
1,1.4,432,0.2,0.4,72,6,1.0154575573642863,0.04034713155303075,0,NA,1.4228381207996097,1.3157306682478738,NA,1.1736960204315734,NA,NA,1.1736960204315734,1.6135396498215528,4,NA,0.9180083544503814,0.9730201506230618,NA,NA,1.055400147344806,0.05777847482268723,0,1.062559300144894,0.08253944197253664,0.7121353176751559,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.2475994476222492,0.8270235795737189,0.9842317783923521,0.2990757990628481,1.0688880694345297,0.8950251601487238,NA,NA,NA,22.405091047286987,0.30187961423335713,0.30208509031104114,0.25793326414622436
2,0.6,432,0.2,0.4,72,6,0.784412560519121,0.03469337447783819,0,NA,1.088269974214812,1.064360871670767,NA,0.8816586599328581,NA,NA,0.8816586599328581,1.315545140569377,4,NA,0.8387869047378327,0.7907836082048738,NA,NA,0.684147775144414,0.05328048854682819,1,0.6950544647018471,0.06343907372617917,0.7415076583286533,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.10746934966575641,0.5096757395355732,0.533669247913738,0.3034220937406644,1.0391502094283303,0.7694860856717612,NA,NA,NA,22.825588941574097,0.21557172685748288,0.44497057500643367,-0.4616597930028902
2,1,432,0.2,0.4,72,6,1.1219883750954682,0.03547058451630825,0,NA,1.4180805414684965,1.3415914919224305,NA,1.2469386587370346,NA,NA,1.2469386587370346,1.543344020370676,4,NA,1.190813545963848,1.14258586869905,NA,NA,0.9027054715882862,0.056727719558904544,1,0.9193492321192396,0.08203841262697538,0.9603276531183085,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.2570318142952812,0.6566539385880421,-20.161044839533254,0.3060404744173866,1.3144413326238382,1.036044477367515,NA,NA,NA,21.87191414833069,0.2579815968096714,0.2551913684553571,-0.8341885956423546
2,1.4,432,0.2,0.4,72,6,1.336140426211674,0.03609861170426665,1,NA,1.6231660168877309,1.53153793239232,NA,1.474535358705156,NA,NA,1.474535358705156,1.714241436410241,4,NA,1.3506601722087845,1.3630916220333686,NA,NA,1.1585178264295843,0.061222133283749265,0,1.169719566983415,0.06478995607143992,1.291827501326811,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.24798495835071252,0.8175707074253592,11.709271396526725,0.31870525274280226,1.5562528553720467,1.2072588130480928,NA,NA,NA,22.577933073043823,0.16746529295772608,0.281286024286158,0.18453747741007118
3,0.6,432,0.2,0.4,72,6,0.3841288478337386,0.034044919252277234,0,NA,0.6402331567710696,0.8037096977780783,NA,0.43630534806281546,NA,NA,0.43630534806281546,1.233454788760782,4,NA,0.4462283119806272,0.3950221497063909,NA,NA,0.35903542483272033,0.05298726047408062,0,0.3874985747063443,0.11170157398935411,0.32114298611760106,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.07487181608832129,0.337208939103735,-0.47182797039391916,0.2757457345724106,0.4218954481538912,0.3928607381206966,NA,NA,NA,20.812470197677612,0.33282299655057074,0.2938048184288502,-0.363199723034076
3,1,432,0.2,0.4,72,6,0.9153367666799843,0.04457238925852002,1,NA,1.4471513528377005,1.3008157004924918,NA,1.1034857387556678,NA,NA,1.1034857387556678,1.720791196471229,4,NA,0.8304182340539192,0.8712498235488457,NA,NA,0.8597911982338053,0.06007405501983667,0,0.8239341356245562,0.18561903849289174,0.8231133252403583,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.28669987752800363,0.7993859445626197,144.8886748873335,0.28786988998763263,1.3242008480101861,0.892262295497478,NA,NA,NA,22.557651042938232,0.48293199001807985,0.46851945491931657,-0.5964902219715826
3,1.4,432,0.2,0.4,72,6,1.0471749920007754,0.04930363976460283,0,NA,1.6841663956955397,1.4635028145883586,NA,1.3007354123267947,NA,NA,1.3007354123267947,1.935761642350931,4,NA,1.0235987799006785,0.98023433730922,NA,NA,1.2880528706141223,0.0682921892646959,1,1.3614132429031904,0.1864837095568628,0.4650086506359909,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.23320065076079702,1.0839640688667238,-1.2160223902413578,0.21271307091228664,1.4056554054357464,1.0020730480849585,NA,NA,NA,20.144479990005493,0.5189660763684376,0.2662631392370302,0.41777383097013515
4,0.6,432,0.2,0.4,72,6,0.4804004930402429,0.0363529203576885,0,NA,0.8124845631159762,0.8938929497888768,NA,0.5542201383164921,NA,NA,0.5542201383164921,1.3307529209036302,4,NA,0.46084386253466153,0.4637597697717643,NA,NA,0.2352959851626477,0.056988260158523256,0,0.23938025589528253,0.058431907707760564,0.3747364363577357,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.14608821364119043,0.23409112250298392,-1.7476329508141224,0.26262181531637907,0.7379568697293235,0.4992086357874198,NA,NA,NA,21.17819380760193,0.249907000659364,0.306783472719558,-0.15334661650915227
4,1,432,0.2,0.4,72,6,0.688037876247386,0.03622243842091094,0,NA,1.0276854314107926,1.0186187159916058,NA,0.7856664555027796,NA,NA,0.7856664555027796,1.332323423256232,4,NA,0.6986477585891404,0.6733549524315967,NA,NA,0.6818136555585669,0.05661449745098241,0,0.7506099867908382,0.11496132368323879,0.4771980060034102,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.15457934470325538,0.5926222803701451,70.88480374620043,0.24138919240795076,1.2342147891289872,0.6882853428316099,NA,NA,NA,21.779006004333496,0.3155812604101895,0.2976593745650335,0.0398175329816559
