method,avg_rmse,rank
ensemble,0.19540952270952605,1
ols,0.2092056015299376,2
siegel,0.21549527956378187,3
theilsen,0.21682181811644224,4
keras_denoised,0.24020747154202376,5
xgboost,0.26666666666666666,6
nlme,0.3278448266961697,7
lmer_slopes,0.3639621927642302,8
rma,0.3664201568533551,9
lmer,0.37070813980668205,10
glmnet,0.45734803495442716,11
deming_mcr,0.5824207520777085,12
majoraxis,0.5824207520777089,13
deming_std,0.5824213207631368,14
deming_wtd,0.5824213207631368,15
keras,0.7034510709357609,16
rf,0.8257299232649292,17
