sim_id,beta_true,n,beta_ols,cover_ols,beta_odr,beta_deming,cover_deming,beta_theilsen,beta_huber,cover_huber,beta_quantile,cover_quantile,beta_sma,beta_majoraxis,beta_rma,beta_pbablok,beta_ridge,beta_lasso,beta_enet,beta_adaptive_lasso,beta_rf,beta_gb,beta_xgb,beta_lgb,beta_svm_linear,beta_svm_rbf,beta_gp,beta_lmer_int,se_lmer_int,cover_lmer_int,var_habitat,var_residual,beta_lmer_slope,se_lmer_slope,beta_clustered,se_clustered,beta_ensemble,beta_trimmed,beta_median
1,0.6,72,0.6956789067788554,1,0.7574737346355469,0.5092292089609645,1,0.7173340685907369,0.7038348069414511,1,0.6835455531295673,1,0.9237191147318381,0.9013910793229538,0.9237191147318381,0.7113935229613646,0.5787706814751951,0.5768091631623506,0.5789145902112941,0.20004414984176364,1.0,1.0,1.0,93,0.7406130928261643,0.40849274197988433,,0.6956789067788547,0.07161702365747152,1,9.031413774587431e-10,0.26274903833640445,0.6956789067788547,0.07161702365747152,0.6956789067788554,0.6163107522536737,0.713545465937197,0.7271924088220381,0.6997568568601532
2,0.6,72,0.6067244430171506,1,0.6602089955791416,0.39736343921028205,1,0.6242579552924814,0.6414758444096739,1,0.5866292225875196,1,0.8512171178401012,0.800915258550732,0.8512171178401012,0.6207263616746845,0.4866383583339312,0.4833972244219023,0.4859673874844799,0.11891189521926587,1.0,1.0,1.0,94,0.7310797007726718,0.4403498412075122,,0.6067244430171516,0.0703617667595218,1,8.102723990777505e-10,0.23573083201966108,0.6067244430171516,0.0703617667595218,0.6067244430171506,0.6055084557669181,0.6457842496587765,0.6494987865590853,0.613725402345918
3,0.6,72,0.7034966629297328,1,0.7653458227070994,0.5217714707427146,1,0.6835556149598576,0.675438861461199,1,0.6883680384925487,1,0.928248988767191,0.9077230995712278,0.928248988767191,0.6951011450190376,0.5912142669495848,0.5894255762127738,0.5914682350375858,0.2132264139633481,1.0,1.0,1.0,99,0.7247190406960642,0.4193476775698788,,0.7034966629297332,0.07136940583195403,1,9.15203919172989e-10,0.26625827513589245,0.7034966629297332,0.07136940583195403,0.7034966629297328,0.6141798409071484,0.7153268133016472,0.7280342111723893,0.7034966629297328
4,0.6,72,0.5065993174226807,1,0.5500372596391453,0.2884478665014584,0,0.5286684466296432,0.5211616962470293,1,0.5430748335033778,1,0.7710208177021741,0.6803851728782269,0.7710208177021741,0.5237326696728728,0.40561525836126666,0.4012488036162841,0.40422766528983495,0.06885716492432188,1.0,1.0,1.0,77,0.7263049557814847,0.410627572531973,,0.5065993174226797,0.06849880705743502,1,7.652321569267846e-10,0.2226273962802575,0.5065993174226797,0.06849880705743502,0.5065993174226807,0.589476484082326,0.5736740123032722,0.5701957355136782,0.5224471829599511
5,0.6,72,0.39286192269344694,0,0.4324722697634895,0.19306991320538655,0,0.4317473433868984,0.4020815778191365,0,0.46254059810591835,1,0.7323165828623832,0.5750446225670394,0.7323165828623832,0.40509911625459416,0.33369201369109536,0.32832662499236054,0.3316682835744881,0.038339259821245066,1.0,1.0,1.0,79,0.5728132344032448,0.1708848258968647,,0.3928619226934472,0.07283419976914517,0,9.736668527099062e-10,0.28326680210577865,0.3928619226934472,0.07283419976914517,0.39286192269344694,0.6267853389748235,0.48699366090819624,0.472479803014567,0.40359034703686536
6,0.6,72,0.4821150662293443,1,0.542586666587114,0.2667972781822191,0,0.5186461748514543,0.48672282464748434,1,0.47455519275390845,1,0.8410995794950101,0.7446079885716433,0.8410995794950101,0.5067724705087056,0.3898960933955484,0.38531131691493103,0.3883694695670956,0.06115795247857425,1.0,1.0,1.0,92,0.6600261362430702,0.365432619299988,,0.4821150662293427,0.08122444602777454,1,1.0977354895874424e-09,0.31936189774454055,0.4821150662293427,0.08122444602777454,0.4821150662293443,0.6989888280220808,0.5637064367231422,0.5596436876249077,0.48441894543841435
7,0.6,72,0.6133289436489456,1,0.6958790755533698,0.3804141590164431,0,0.6347311931407584,0.6060073541550008,1,0.6946793941297842,1,0.9494096579115738,0.9238561419230608,0.9494096579115738,0.6157248173005296,0.46833446222505865,0.4648391075337401,0.4675015995360598,0.10599237776229473,1.0,1.0,1.0,86,0.6806763519373615,0.2770005021442934,,0.613328943648945,0.08540803252445159,1,1.0820582184514586e-09,0.3148009045092235,0.613328943648945,0.08540803252445159,0.6133289436489456,0.734991292369346,0.6530805284898492,0.6658210414927832,0.6145268804747377
8,0.6,72,0.6055468894733188,1,0.6467132031799763,0.438516976741472,1,0.6311204703293363,0.5971619755335629,1,0.631632270051165,1,0.8038759211290022,0.7526012642945955,0.8038759211290022,0.6187743338689736,0.5380115741086231,0.535483957082354,0.5377949821714963,0.16068714766865255,1.0,1.0,1.0,85,0.7162528166513696,0.4810399901470246,,0.605546889473319,0.06230853575601168,1,7.7966960104316e-10,0.22682765180203768,0.605546889473319,0.06230853575601168,0.6055468894733188,0.5362052006975054,0.6507150164536308,0.650918124309431,0.6121606116711463
9,0.6,72,0.5045899614016193,1,0.5605948933978839,0.3183078191766455,0,0.502046453705823,0.5250653257085663,1,0.5151445381924982,1,0.8261440062741798,0.7367870021979195,0.8261440062741798,0.5192862944028531,0.4342962141410196,0.4303281060040892,0.43316229453143207,0.084520959082327,1.0,1.0,1.0,86,0.6384352937367777,0.3211088493011182,,0.5045899614016187,0.07709147614247573,1,1.1200451292155103e-09,0.32585232322802166,0.5045899614016187,0.07709147614247573,0.5045899614016193,0.6634219523134088,0.5768059955333541,0.5714946179708231,0.5098672497970587
10,0.6,72,0.698985049570972,1,0.7606374817172652,0.522529170172068,1,0.71647863110724,0.7220845354803337,1,0.7392358613972746,1,0.9251310990506092,0.9034857562775308,0.9251310990506092,0.7105737802784362,0.595706004445879,0.5939796989520719,0.5959997004498228,0.21812337991428218,1.0,1.0,1.0,82,0.7899167546934047,0.49515882557476626,,0.6989850495709717,0.07142278765162094,1,9.426050290161536e-10,0.2742300223387697,0.6989850495709717,0.07142278765162094,0.698985049570972,0.6146392259493546,0.7277323625838854,0.7387127650753573,0.7135262056928381
