method,avg_rmse,rank
ensemble,0.2557984230484853,1
xgboost,0.26666666666666666,2
ols,0.26896885185697417,3
siegel,0.2736887995667013,4
theilsen,0.2766532949556307,5
rma,0.34743382487726604,6
lmer_slopes,0.37166783812347665,7
lmer,0.38470717759258016,8
nlme,0.41155659194531813,9
glmnet,0.49496064162272047,10
deming_std,0.5906830721660434,11
deming_wtd,0.5906830721660434,12
deming_mcr,0.5906837744886236,13
majoraxis,0.5906837744886237,14
keras,0.7056158836936784,15
keras_denoised,0.757701918260459,16
rf,0.799624690239995,17
