method,rmse
sma,0.11512847092769567
rma,0.11512847092769567
majoraxis,0.12002466019212064
deming,0.14777617678118107
trimmed,0.18824380711658237
odr,0.19031123019134252
theilsen,0.19812346288382066
pbablok,0.20287039003589033
median,0.2055616230226418
ensemble,0.20647753588790066
huber,0.20997930261641137
clustered,0.21057660063878184
ols,0.21057660063878184
lmer_int,0.21057660063878192
lmer_slope,0.21057660063878192
quantile,0.2151235844937991
gb,0.26666666666666666
rf,0.26666666666666666
xgb,0.26666666666666666
enet,0.30246272989056017
svm_linear,0.30307148325113603
lasso,0.3039531253283128
ridge,0.31224884763814786
svm_rbf,0.4515920863642167
adaptive_lasso,0.5477296929415464
lgb,1.0
