method,avg_rmse,rank
ensemble,0.2497109998641856,1
xgboost,0.26666666666666666,2
deming_mcr,0.27683759349284986,3
theilsen,0.28002837490489424,4
ols,0.2805336492959322,5
siegel,0.28095194139206736,6
rma,0.32523535518429264,7
nlme,0.41918555922100026,8
majoraxis,0.4622301511845002,9
lmer_slopes,0.4928252284621629,10
lmer,0.498582097760585,11
glmnet,0.52280621604899,12
keras,0.7105739859762922,13
keras_denoised,0.7488412338027939,14
rf,0.816808604213603,15
deming_std,0.8482101517442577,16
deming_wtd,0.8482101517442577,17
