beta_true,n,beta_ols_mean,beta_ols_sd,beta_ols_bias,beta_ols_rmse,beta_rma_mean,beta_rma_sd,beta_rma_bias,beta_rma_rmse,beta_theilsen_mean,beta_theilsen_sd,beta_theilsen_bias,beta_theilsen_rmse,beta_siegel_mean,beta_siegel_sd,beta_siegel_bias,beta_siegel_rmse,beta_lmer_mean,beta_lmer_sd,beta_lmer_bias,beta_lmer_rmse,beta_lmer_slopes_mean,beta_lmer_slopes_sd,beta_lmer_slopes_bias,beta_lmer_slopes_rmse,beta_nlme_mean,beta_nlme_sd,beta_nlme_bias,beta_nlme_rmse,beta_xgboost_mean,beta_xgboost_sd,beta_xgboost_bias,beta_xgboost_rmse,beta_rf_mean,beta_rf_sd,beta_rf_bias,beta_rf_rmse,beta_glmnet_mean,beta_glmnet_sd,beta_glmnet_bias,beta_glmnet_rmse,beta_keras_mean,beta_keras_sd,beta_keras_bias,beta_keras_rmse,beta_keras_denoised_mean,beta_keras_denoised_sd,beta_keras_denoised_bias,beta_keras_denoised_rmse,beta_ensemble_mean,beta_ensemble_sd,beta_ensemble_bias,beta_ensemble_rmse,beta_majoraxis_mean,beta_majoraxis_sd,beta_majoraxis_bias,beta_majoraxis_rmse,beta_deming_std_mean,beta_deming_std_sd,beta_deming_std_bias,beta_deming_std_rmse,beta_deming_wtd_mean,beta_deming_wtd_sd,beta_deming_wtd_bias,beta_deming_wtd_rmse,beta_deming_mcr_mean,beta_deming_mcr_sd,beta_deming_mcr_bias,beta_deming_mcr_rmse
0.6,100,0.4999257403887238,0.23947006357854614,-0.10007425961127621,0.2584324083267323,0.9332198960539002,0.3260383914991379,0.33321989605390023,0.46505217076173694,0.49520041120122155,0.2403634495587099,-0.10479958879877843,0.26111261137164155,0.49592711770489817,0.23766546402139987,-0.1040728822951018,0.2583625144827174,0.3806462732091831,0.12246734008819245,-0.2193537267908169,0.25092693030325497,0.3831178891287118,0.11984302047857069,-0.2168821108712882,0.24750065874223162,0.5851454093935448,0.3426807022635633,-0.014854590606455255,0.34128642212794785,1,0,0.4,0.4,0.1107950332593113,0.05015179908205145,-0.4892049667406887,0.4917433786086124,0.3145003731406296,0.11648295987254444,-0.2854996268593704,0.3081276262818734,0.2869892825098941,0.04247533918799842,-0.3130107174901059,0.31585094927578583,0.663929509670915,0.31369797413199335,0.063929509670915,0.3186052996915387,0.5616983677085733,0.22891913779705697,-0.038301632291426684,0.23096958018197578,0.9168568939472149,0.4480870229507249,0.3168568939472149,0.5469480510699869,0.9168568885682881,0.448085799274568,0.3168568885682881,0.546947055584236,0.9168568885682881,0.448085799274568,0.3168568885682881,0.546947055584236,0.9168568939472151,0.44808702295072456,0.3168568939472151,0.5469480510699867
1,100,0.8880551300332187,0.23199031015429228,-0.1119448699667813,0.25654037280184466,1.2201778031562052,0.2275123550763555,0.22017780315620517,0.3157887236713154,0.8758541562396477,0.24674889125555038,-0.12414584376035236,0.27511516807594383,0.877217149219745,0.23710877816006967,-0.12278285078025493,0.26595863475262815,0.6472539922031503,0.11904093565710024,-0.3527460077968497,0.3721005011218231,0.6550410220552509,0.1146970569454086,-0.3449589779447491,0.3633463322890501,0.8410823930196685,0.3320660691505629,-0.1589176069803315,0.3666333336545526,1,0,0,0,0.19139493268326588,0.05246907557421302,-0.8086050673167341,0.8102886083013857,0.5487324695049943,0.11790387335976156,-0.4512675304950056,0.46626676291449637,0.30060801053812614,0.04496369549516545,-0.6993919894618739,0.700821426254145,1.1466705791048928,0.290251559143365,0.14667057910489273,0.3239070340148039,0.8958840438630298,0.20110240881343183,-0.10411595613697024,0.22556127629665187,1.3068016774487026,0.3236682079085308,0.30680167744870257,0.44479294846922923,1.3068036202917113,0.32366735764878213,0.3068036202917112,0.44479367604246767,1.3068036202917113,0.32366735764878213,0.3068036202917112,0.44479367604246767,1.3068016774487023,0.3236682079085307,0.30680167744870246,0.4447929484692291
1.4,100,1.244281415493029,0.20263988759388557,-0.1557185845069708,0.2547559074182119,1.5352342582125296,0.21855664545169917,0.13523425821252974,0.2560813187108382,1.2315363228375458,0.20923844417595364,-0.16846367716245406,0.2678113697718181,1.2303506530162023,0.20532738313793264,-0.1696493469837976,0.2655534632717819,0.8950292388745982,0.10738240996155171,-0.5049707611254017,0.5161503092520887,0.9004887261492779,0.10616378605964392,-0.499511273850722,0.5105580815928622,1.091311416493638,0.47280227485580967,-0.3086885835063621,0.5626679418492798,1,0,-0.3999999999999999,0.3999999999999999,0.26925793000306764,0.05880569459644837,-1.1307420699969322,1.1322548995172192,0.7659962203632222,0.11438705714225611,-0.6340037796367777,0.6441384536316465,0.31021183154349274,0.04118225392123206,-1.0897881684565072,1.0905582379522154,1.5226943484590267,0.2957531779835706,0.12269434845902677,0.3188246320601544,1.1931654630476343,0.16913017516274698,-0.20683453695236567,0.26664487931587055,1.6861038839489253,0.28548071392130286,0.28610388394892544,0.4031620989769088,1.686106856327137,0.2854808241005203,0.2861068563271372,0.40316428556758127,1.686106856327137,0.2854808241005203,0.2861068563271372,0.40316428556758127,1.6861038839489253,0.2854807139213025,0.2861038839489253,0.4031620989769084
