sim_id,beta_true,n,sigma_x_me,sigma_y_me,n_per_habitat,n_habitats,beta_ols,se_ols,cover_ols,beta_sma,beta_majoraxis,beta_rma,beta_odr,beta_deming_std,se_deming_std,cover_deming_std,beta_deming_wtd,beta_deming_mcr,lambda_estimated,beta_pbablok,beta_theilsen,beta_siegel,beta_simex,se_simex,beta_lmer,se_lmer,cover_lmer,beta_lmer_slopes,se_lmer_slopes,beta_nlme,beta_brms_std,se_brms_std,cover_brms_std,beta_brms_me,se_brms_me,cover_brms_me,beta_brms_robust,se_brms_robust,beta_brms_horseshoe,beta_xgboost,beta_xgboost_corrected,beta_rf,beta_glmnet,beta_nnet,beta_keras,beta_keras_denoised,beta_ensemble,rhat,ess_bulk,divergent,time_total,sd_beta_actual,sd_alpha_actual,cor_alpha_beta_actual
1,0.6,864,0.4,0.2,72,12,0.46948977972380973,0.0295137732969424,0,NA,0.969877954458223,0.985533763564498,NA,1.684696786819956,NA,NA,1.684696786819956,0.5697333378207878,0.25,NA,0.45730641870381905,0.4660090481086715,NA,NA,0.24755981886789863,0.02609202871901995,0,0.2588972520340681,0.059365973761019854,0.554170416257337,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.07111534640469949,0.22450552549628028,-1.7929473699205245,0.2777469517313875,0.4710942210703966,0.5291030651375271,NA,NA,NA,298.4830470085144,0.4305205060002392,0.29975034440929527,-0.46563322798546153
1,1,864,0.4,0.2,72,12,0.45706830064816023,0.02148703228424336,0,NA,0.6585107067824791,0.7790317163379852,NA,1.024774049756104,NA,NA,1.024774049756104,0.5045301685605813,0.25,NA,0.3915320036924739,0.4243014118618582,NA,NA,0.35772447619973047,0.0264984614444356,0,0.35579625365822004,0.043220698053589995,0.32464513663080524,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.1028634569633149,0.3673952527754357,1.1928361772639717,0.32080237241461873,0.47009535577007816,0.45960174786156205,NA,NA,NA,296.1933181285858,0.26092549737416476,0.35183751350263537,-0.6064745333585503
1,1.4,864,0.4,0.2,72,12,1.1152475300439204,0.029909807788882484,0,NA,1.5536748369689595,1.419478539522662,NA,1.7272822232229073,NA,NA,1.7272822232229073,1.2991025117753008,0.25,NA,1.1533825076826787,1.1274460899869325,NA,NA,0.6403323744798967,0.03328927683636713,0,0.640500792908882,0.05012430452419757,0.9024386944280055,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.19301179504600008,0.5601559320548094,4.130212968733856,0.30483815912157297,1.1550021374288053,1.0564290342491873,NA,NA,NA,296.39664793014526,0.2769010776290939,0.4252858326779981,-0.5088150323096652
2,0.6,864,0.4,0.2,72,12,0.3163819922034092,0.026659885703195364,0,NA,0.6442688082717454,0.8442533025759558,NA,1.6172763807821928,NA,NA,1.6172763807821928,0.37168597439211154,0.25,NA,0.23236906248643607,0.2553425773269312,NA,NA,0.2946946529814219,0.026533882352562047,0,0.28334400833937967,0.08590802039738839,0.298131601596541,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.06541538265452557,0.4093404142950204,9.899074818630572,0.19477110329899006,0.32747713482984436,0.343053620218085,NA,NA,NA,296.0736961364746,0.463969407302229,0.42218678273150134,-0.7831194365663363
2,1,864,0.4,0.2,72,12,0.7602212207465886,0.039834798724306786,0,NA,1.7997130098973173,1.394907720869533,NA,2.337574370416092,NA,NA,2.337574370416092,1.0625121037035727,0.25,NA,0.7624920251686141,0.7384669428841422,NA,NA,0.4962506469351132,0.02867982900150829,0,0.5067826344530211,0.06760905599956075,0.6546380408353266,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.16254293459787195,0.558221272909833,NA,0.2762621003203094,0.8321222915846088,0.8861621295434876,NA,NA,NA,293.4412581920624,0.41513797172343603,0.4370442393600904,-0.11540869902098363
2,1.4,864,0.4,0.2,72,12,0.9749572220521581,0.03703980417994358,0,NA,1.7377298120470366,1.4605341418779656,NA,2.053292176424479,NA,NA,2.053292176424479,1.2599464291443982,0.25,NA,0.9522363654007355,0.9429212455507755,NA,NA,0.7486881743219621,0.034156004592332985,0,0.7808231525255034,0.08919058552608437,0.9538456006567813,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.1748325743402785,0.6545440985391325,NA,0.24058224190957844,1.0019210338593567,0.9814853350537731,NA,NA,NA,296.22891902923584,0.5261172919162299,0.5851832500171195,-0.658189210697715
3,0.6,864,0.4,0.2,72,12,0.3048691140314439,0.026788966080305236,0,NA,0.6331895654147262,0.8435391865456647,NA,1.664199491405932,NA,NA,1.664199491405932,0.35889566658620914,0.25,NA,0.3024601811593717,0.28946787941690083,NA,NA,0.1519952673973935,0.026418488397621197,0,0.15569943676110506,0.07603093564454996,0.4122636504469757,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.06192091863931935,0.06767223864556891,NA,0.27861535316333175,0.31108128246055133,0.36604309924588496,NA,NA,NA,296.06874895095825,0.4433105705256727,0.37799037384029405,-0.73881829238161
3,1,864,0.4,0.2,72,12,0.7964706496071223,0.029087197468096862,0,NA,1.2540333385514213,1.167764348843558,NA,1.5586408832959446,NA,NA,1.5586408832959446,0.9409612610631811,0.25,NA,0.813933971404599,0.815277076275338,NA,NA,0.5320378735080407,0.02956362232473256,0,0.5432016719138146,0.07522289503431125,0.774183819819342,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.1269970487635456,0.45915181261698257,1.6769775582923698,0.31958596280310303,0.817605679148693,0.8003259203029878,NA,NA,NA,295.7027361392975,0.5189314864716164,0.3705937935022648,-0.4804258797061328
3,1.4,864,0.4,0.2,72,12,1.1340811283191115,0.03498879665341831,0,NA,1.7532043861620297,1.5301679985775134,NA,1.970991775597937,NA,NA,1.970991775597937,1.398241986996164,0.25,NA,1.0833281137626947,1.1008401492415048,NA,NA,0.6740905378745252,0.03414579805763743,0,0.6772893387722829,0.04832647318485643,0.7791717006674909,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.22142916986548122,0.7683742623486711,NA,0.2799558276310563,1.241151650673645,1.0983442213097074,NA,NA,NA,292.9530849456787,0.30223039955432557,0.30493979979581837,0.0762272739375669
4,0.6,864,0.4,0.2,72,12,0.7196992608315143,0.031017629413815265,0,NA,1.2699706245412006,1.1607288573735568,NA,1.673997346587491,NA,NA,1.673997346587491,0.8767011629027193,0.25,NA,0.8221253865856204,0.7609926380935506,NA,NA,0.31742489644086236,0.025893469677415053,0,0.3132687040205849,0.056227965092758465,0.7249059542727554,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.17886976052294662,0.25159083374540003,NA,0.27976259106071666,0.7819834698008149,0.7747082665639734,NA,NA,NA,297.41437816619873,0.4472222716721665,0.26665326148565277,-0.01951510580918158
