method,avg_rmse,rank
deming_mcr,0.20312836628790962,1
ensemble,0.2195161830885412,2
ols,0.26151764666379784,3
xgboost,0.26666666666666666,4
theilsen,0.26792510583498325,5
siegel,0.27132322116044033,6
rma,0.28440040984547765,7
nlme,0.35585257203929654,8
keras_denoised,0.40038972827645425,9
majoraxis,0.43048555464473853,10
lmer_slopes,0.5002208774456428,11
lmer,0.5063657287515251,12
glmnet,0.5148322916656691,13
keras,0.705206917249324,14
rf,0.8384551765334544,15
deming_std,0.8603873217108687,16
deming_wtd,0.8603873217108687,17
