scenario,sigma_x_me_folder,sigma_y_me_folder,n_per_habitat_folder,n_habitats_folder,sim_id,beta_true,n,sigma_x_me,sigma_y_me,n_per_habitat,n_habitats,beta_ols,se_ols,beta_majoraxis,beta_rma,beta_deming_std,beta_deming_wtd,beta_deming_mcr,beta_theilsen,beta_siegel,beta_lmer,se_lmer,beta_lmer_slopes,se_lmer_slopes,beta_nlme,beta_rf,beta_glmnet,beta_nnet,beta_keras,beta_keras_denoised,beta_ensemble,time_total,sd_beta_actual,sd_alpha_actual,cor_alpha_beta_actual
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,1,0.6,432,0.2,0.4,36,12,0.663039947257908,0.0460922218283496,1.30116843539686,1.16325144499438,0.829599986602778,0.829599986602778,1.80247980150997,0.676993697591189,0.691970112543811,0.588869131354675,0.0549128664907558,0.57192459945949,0.11182871628273,1.09151718113019,0.107802294572442,0.277063568072652,-4.4131696990992,0.302095383405685,0.965257121081496,0.687397227187811,47.4895458221436,0.307557300988427,0.427857444197327,-0.147483202354841
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,1,1,432,0.2,0.4,36,12,0.614463432404952,0.0527973448392041,1.57334369475894,1.25547439131705,0.836620048448538,0.836620048448538,2.26853504797437,0.514319276654703,0.553338111000628,0.754353345727902,0.0599484474089503,0.78298481203075,0.140770632511193,0.540350161537628,0.124371399651738,0.578157098259135,0.741268296221694,0.277044579095673,0.642366889256496,0.576962845172072,45.3192749023438,0.604891710090547,0.453468352612427,-0.163734931366686
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,1,1.4,432,0.2,0.4,36,12,1.08000024661293,0.0457837091456696,1.60983389534847,1.43796529256869,1.29636903797839,1.29636903797839,1.82042653377809,1.14139165188681,1.10904963296178,1.01713715824215,0.0646133841655026,1.04677286545602,0.0976049486584538,1.01287915151886,0.257365585918335,0.7212727026788,-0.306122771327196,0.30956670048181,1.55176123014183,1.07581777342035,46.3281030654907,0.359205966972507,0.363551047353571,-0.580349383601813
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,2,0.6,432,0.2,0.4,36,12,0.636733574465602,0.0385870899581647,1.03651693501822,1.02258689350623,0.743091024601116,0.743091024601116,1.42506468244948,0.585019876429274,0.603934987124872,0.6361359637507,0.0522828890245702,0.626087329245996,0.0667160872512348,0.540186438904531,0.136734560903099,0.41448011306218,-0.383561521369965,0.301385453436524,0.950699076507355,0.643385801087974,44.6038589477539,0.287881664628958,0.394717096947107,-0.0385480487567727
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,2,1,432,0.2,0.4,36,12,1.00741755046508,0.056202133571907,1.89165097664702,1.54049422028773,1.34939703578898,1.34939703578898,2.22009768663362,1.18381054899433,1.10559868083828,0.818283553884323,0.0628987967415581,0.830351350621141,0.114619621657661,0.9963149575157,0.177725899825429,0.565366288159536,2.2979180506133,0.308849116554484,1.10994602960554,0.991884056281681,44.1737198829651,0.467977125474303,0.416310693244033,-0.382981613077183
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,2,1.4,432,0.2,0.4,36,12,1.52461372482687,0.0500960045513292,2.06158134794818,1.84487917460558,1.81394852755908,1.81394852755908,2.18296768959786,1.53569238964643,1.51313261506163,1.25492097046334,0.0629038622760261,1.2642048946767,0.122927237383435,1.71700810061718,0.327104637305507,0.963395696503818,-2.57911338429591,0.326448459120002,1.62637500015218,1.36554685589801,45.6535799503326,0.516127884314437,0.539514606335844,-0.457795001299608
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,3,0.6,432,0.2,0.4,36,12,0.428641855832039,0.0612795111632474,2.29794081880615,1.3410669597697,0.686936992632254,0.686936992632254,3.68040831705241,0.407973975879221,0.443594383022549,0.433834701609078,0.0571642415707943,0.419755869696396,0.0799145321012272,0.562350694098568,0.0941916101340841,0.260211176472619,-3.43830678612898,0.29857680934947,0.472553527184502,0.458936632175497,44.7943441867828,0.387388646503336,0.621727293223984,-0.106231823966972
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,3,1,432,0.2,0.4,36,12,0.820457187186358,0.0585512051036946,1.91936573738525,1.46536505766194,1.16762579830238,1.16762579830238,2.41596317151195,0.63275133137678,0.714867166911332,0.771190899281075,0.0584479732666799,0.832919722141219,0.129417347835197,1.12717858409497,0.209751690504404,0.651231467333603,1.27091841620193,0.307642141124234,0.938946312642478,0.773484554126445,43.6490111351013,0.544390719438521,0.327627839715172,0.279181290860769
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,3,1.4,432,0.2,0.4,36,12,1.19636983381821,0.0521091779230291,1.87095345464308,1.61211300519232,1.49840628370646,1.49840628370646,2.08336144393801,1.21664256432821,1.20272768165683,1.06900614476712,0.0631852516917101,1.08970129442775,0.124367964094734,0.812474250226557,0.261749275803354,0.862586103261813,1.31810309894223,0.32431739801541,1.51941239139722,1.1510296942531,45.7286770343781,0.478255306202801,0.524178036392032,-0.597194077798776
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,4,0.6,432,0.2,0.4,36,12,0.785925769664228,0.0525735706107206,1.63675134182281,1.34394600186514,1.04315505953624,1.04315505953624,2.09916836700284,0.694057377934483,0.733782350194616,0.531421045450334,0.0645982218273625,0.550888388821797,0.105634942700592,0.872435469701128,0.146734430710681,0.427037369184565,-28.4184156335946,0.24769888445735,1.17011323071759,0.788190064461978,44.632786989212,0.418397946992146,0.370763638311253,-0.433034937369371
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,4,1,432,0.2,0.4,36,12,1.0746903867897,0.0403296729564447,1.47358663515306,1.36174406971021,1.23702799497534,1.23702799497534,1.6448364816955,1.16176154735142,1.11995516386099,0.856163048227444,0.0548919442529577,0.842894054812621,0.0739057753873581,1.27312475210749,0.237933710867235,0.505508212480332,43.4754131475718,0.234046492725611,1.19147890982725,0.98057850996219,44.9904770851135,0.335819302960298,0.297265972608794,-0.319997655217502
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,4,1.4,432,0.2,0.4,36,12,1.22353032842158,0.0457781638862687,1.72307660562458,1.54859671598211,1.44980368364048,1.44980368364048,1.88810738876953,1.189436639442,1.2082939998584,1.09804187381457,0.060844752067161,1.08241961744622,0.112927231618318,2.05544477609486,0.216763977909576,0.622014017243643,0.550079392231039,0.265362436650321,1.50659923269099,1.12694646416907,44.5064518451691,0.346975928481141,0.450310232287464,-0.298102926998055
