scenario,n_obs,sigma_x_me,sigma_y_me,error_ratio,total_error,beta_true,method,n_simulations,rmse,bias,mae,mape,mse,variance,skewness,kurtosis,quantile_loss_05,huber_loss,consistency_01,consistency_005,relative_bias,cv,bias_squared,bias_proportion,variance_proportion,finite_sample_bias_correction,coverage_95,coverage_90,ci_width_95,ci_width_90,rejection_rate_05
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,0.6,true,300,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,0.6,ols,300,0.11129898271775472,-0.033858930865421646,0.08926422445717007,14.877370742861675,0.012387463554007066,0.0112786317939709,0.044380382882418336,-0.0883444880858324,0.044632112228585034,0.006193731777003533,0.6033333333333334,0.34,-0.0564315514423694,0.18758735016927913,0.0011464271993494026,0.09254737213564267,0.9104875864859774,-1.2189215111551792,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,0.6,odr,300,0.11841124600254962,0.018317373707499217,0.09410589223092936,15.684315371821558,0.014021223179876323,0.013731468562210178,0.084038765781665,-0.020352819016412838,0.04705294611546468,0.007010611589938162,0.6,0.29333333333333333,0.030528956179165363,0.18951650725048305,0.0003355261795401836,0.02392987938611096,0.9793345691778154,0.6594254534699718,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,0.6,deming,300,0.26503692263286,-0.2368468735491217,0.23889563890655818,39.8159398177597,0.07024457035869662,0.014195447005387609,-0.02932233188636715,0.05759979270540061,0.11944781945327909,0.03512228517934831,0.14,0.03333333333333333,-0.3947447892485362,0.32808377163081953,0.05609644150999365,0.79858758084138,0.20208603928958535,-8.526487447768382,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,0.6,theilsen,300,0.12156199954428502,-0.03006224593330939,0.09730057180950856,16.21676196825143,0.014777319733204753,0.013919981039448134,0.0698417001178211,-0.1759351316232043,0.04865028590475428,0.007388659866602376,0.5833333333333334,0.31333333333333335,-0.05010374322218233,0.20701027162226576,0.000903738630554777,0.061157141272653745,0.941982801398675,-1.0822408535991381,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,0.6,huber,300,0.11915212123021328,-0.03334422865242978,0.0946668089936232,15.7778014989372,0.014197227993659443,0.013129154256756446,0.006169021590700566,-0.04035122648968903,0.0473334044968116,0.007098613996829721,0.6,0.33666666666666667,-0.0555737144207163,0.20220833775305086,0.0011118375844255191,0.07831370919182756,0.9247688536536848,-1.2003922314874722,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,0.6,quantile,300,0.14600020138589853,-0.03358465338225976,0.11772673899007718,19.621123165012865,0.02131605880472293,0.020255648690886023,0.1809607341086977,-0.20547520974975875,0.05886336949503859,0.010658029402361465,0.5033333333333333,0.26666666666666666,-0.055974422303766265,0.2512685110849979,0.0011279289428065317,0.05291451638126557,0.9502529935973927,-1.2090475217613512,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,0.6,sma,300,0.25063879548532275,0.22868446084452004,0.22889075372647388,38.14845895441231,0.06281980580233344,0.010558417896907663,0.2377331804465113,0.09848204785966086,0.11444537686323694,0.03140990290116672,0.10333333333333333,0.02666666666666667,0.3811407680742,0.12399672889526299,0.05229658263174882,0.8324855825932251,0.1680746662944232,8.232640590402722,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,0.6,majoraxis,300,0.21954486771376874,0.1670132257976021,0.1822865828642518,30.381097144041973,0.048199948939456214,0.020374446168697713,0.2923337448380743,0.4586904461339776,0.0911432914321259,0.024099974469728107,0.29,0.13666666666666666,0.2783553763293368,0.18609729198365413,0.027893417591320826,0.5787022228251247,0.42270679984101195,6.012476128713676,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,0.6,rma,300,0.25063879548532275,0.22868446084452004,0.22889075372647388,38.14845895441231,0.06281980580233344,0.010558417896907663,0.2377331804465113,0.09848204785966086,0.11444537686323694,0.03140990290116672,0.10333333333333333,0.02666666666666667,0.3811407680742,0.12399672889526299,0.05229658263174882,0.8324855825932251,0.1680746662944232,8.232640590402722,,,,,
