method,rmse
majoraxis,0.08521605322110352
rma,0.09296871664857372
sma,0.09296871664857372
deming,0.10277002900830358
odr,0.154478999571828
ensemble,0.16741101978850226
trimmed,0.16838295702604697
theilsen,0.19108005267099226
pbablok,0.19482360808318744
median,0.19858768588212897
clustered,0.20360919053381143
ols,0.20360919053381143
lmer_slope,0.20360919053381157
lmer_int,0.20360919053381157
huber,0.20457512427227706
quantile,0.20673135882658267
gb,0.26666666666666666
rf,0.26666666666666666
xgb,0.26666666666666666
enet,0.28913755109388234
svm_linear,0.2896656294945652
ridge,0.29034414371643286
lasso,0.2905696621213499
svm_rbf,0.40062843351804184
adaptive_lasso,0.5200480149451859
lgb,86.96621156777564
