beta_true,method,mean_est,std_est,bias,rmse,n_success
0.6,ols,0.5319570174066581,0.09119928741897601,-0.06804298259334184,0.11366368434629588,300
0.6,odr,0.6668278880372771,0.11723855038922902,0.06682788803727716,0.1347776986667283,300
0.6,deming,0.48133288404472696,0.10603037015456411,-0.11866711595527311,0.15901839203775267,300
0.6,theilsen,0.5406483568178715,0.10246811480138823,-0.05935164318212853,0.11826805591902667,300
0.6,huber,0.5331825961352796,0.09828103987876333,-0.0668174038647204,0.11870775479950772,300
0.6,quantile,0.53705381119523,0.11932055808455665,-0.06294618880476997,0.13472995317071765,300
0.6,sma,0.7453381885238624,0.09083395368068979,0.14533818852386238,0.1713081827998668,300
0.6,majoraxis,0.6735930442117832,0.11570689167666845,0.0735930442117833,0.13696493707720303,300
0.6,rma,0.7453381885238624,0.09083395368068979,0.14533818852386238,0.1713081827998668,300
0.6,pbablok,0.5376496046848078,0.09702836314000161,-0.06235039531519218,0.11519849552870327,300
0.6,ridge,0.4400058597496669,0.07890926177754652,-0.15999414025033307,0.1783368748653505,300
0.6,lasso,0.4422282447427133,0.08110118571581171,-0.15777175525728673,0.1773341602936691,300
0.6,enet,0.44500322859971464,0.0806976972296634,-0.15499677140028528,0.1746837440105847,300
0.6,adaptive_lasso,0.10044152583546886,0.053862971771697465,-0.4995584741645311,0.5024442437776019,300
0.6,rf,1.0,0.0,0.39999999999999997,0.4000000000000001,300
0.6,gb,1.0,0.0,0.39999999999999997,0.4000000000000001,300
0.6,xgb,1.0,0.0,0.39999999999999997,0.4000000000000001,300
0.6,lgb,0.0,0.0,-0.6,0.6,300
0.6,svm_linear,0.6977438627133788,0.10923988750814695,0.09774386271337882,0.14644943795561366,300
0.6,svm_rbf,0.332245509772318,0.0941344862813104,-0.26775449022768194,0.2837679172719153,300
0.6,lmer_int,0.5319570174066581,0.09119928741897598,-0.06804298259334186,0.11366368434629588,300
0.6,lmer_slope,0.5319570174066581,0.09119928741897598,-0.06804298259334186,0.11366368434629588,300
0.6,clustered,0.5319570174066581,0.09119928741897601,-0.06804298259334184,0.11366368434629588,300
0.6,ensemble,0.5672374288354172,0.06905007215809804,-0.03276257116458285,0.07632434403781517,300
0.6,trimmed,0.576084794375705,0.08118109963110318,-0.023915205624294885,0.0845005331003481,300
0.6,median,0.5379136020991022,0.09382383494911088,-0.062086397900897754,0.11237566359693457,300
1.0,ols,0.8865045567254369,0.10268888118864487,-0.11349544327456317,0.15294140035582024,300
